,ques,ans,isBully
8502,ihatesimoa jks hru , i hate you too  lol jokes and not much you,Positive
8503,ill go now bye, bye,Positive
8504,ilovesimoa , iloveyourpenis,Positive
8505,ilovesimoa, aww its these cute lil cmnts that make me smile ,Positive
8506,iloveyousomuch , i love you sam  so friggin much ,Positive
8507,ily simoa  c, I LOVE YOU RIGEL ,Positive
8508,ily, i love you ,Positive
8509,ily, iloveyou,Positive
8510,imma send you a heart cause I u U  hehe, I LOVE YOU  awwwww,Positive
8511,it bigger then that i just didnt have enough space  haha, LOL awwww,Positive
8512,l, LOVE,Positive
8513,l, loves,Positive
8514,Lady Gaga fan , OMFG MOST DEFINATELY AM A LITTLE MONSTER,Positive
8515,LETS HAVE SEX  LOL JKS YOU HAVE BLUE WFFLE , BAHAHAHA no i dont ,Positive
8516,lol dude my cats a ranga, lol thats adorable,Positive
8517,love youuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu , lalalarveeee you ,Positive
8518,m, ,Positive
8519,mine arent really questions its just telling you how amazing you are  its all true  , your questions make me smile everytime i come on formspring  cutie ,Positive
8520,MISS YOU SO MUCH  , aw i miss you so much aswell  like extremely  muchly ,Positive
8521,NO WAY MINES THIS BIG  , Hahahahhaha ,Positive
8522,o, oprah P,Positive
8523,o, xD,Positive
8524,okay the raping  will begin in , haha thanks rigel,Positive
8525,ommgsh  your amazingggg , NO YOU ARE ,Positive
8526,s, ,Positive
8527,s, sexy,Positive
8528,s, simoa P,Positive
8529,s, super D,Positive
8530,same here  very much ,  youre gorgeous,Positive
8531,Sex sex sex spam spam spam, D haha aw iloveyou pieface,Positive
8532,simoa is gorgeous , sam is even more gorgeous ,Positive
8533,SIMOA LOVES POO , ugh thanks,Positive
8534,sorry   im not from the australia   but What rad means  every ausie use this word  i notice   american dont so pls tell me, lol rad means awesome P,Positive
8535,SPAM  ily, Spam babe D,Positive
8536,spam cause your beautiful , haha youre beautiful,Positive
8537,SPAM MEEEE BAHAH , SPAM SPAM SPAM ,Positive
8538,SPAM,  lol youre amazing,Positive
8539,suck me fucker hahahahahahhahha yeah yeah like that yeah OH OH OH SIMOA rigelATTEMPTS, oh gosh lol,Positive
8540,suck my metre long penis D, BAHAHA omg yum  yes please,Positive
8541,v, venus haha,Positive
8542,What do you want to be when you grow up, Fashion Designer or Lawyer D,Positive
8543,What is your alltime favourite song , omg  anything paramore or nevershoutnever D,Positive
8544,who are the best people to follow on twitter, Allyson  Brenna  Jess  Melodi  Andrew etc everyone but my favourite is HAYLEY WILLIAMS  LADY GAGA D,Positive
8545,wifeyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy, aw hello wife ,Positive
8546,y, yummy,Positive
8547,You an your sexy cookiegina are at the top of the food cahin babehh D, no you are D ilysm ,Positive
8548,you dared me to click the send button  your beautiful so dont let anyone tell you otherwise , aw im not really  you are ,Positive
8549,you make me smile  r , you make me smile sweetie ,Positive
8550,Youre amazing  iloveyou D, Nawww  youre precious and way more amazing then me dear  ily,Positive
8551,your amazing  lovely  gorgeous  much more  , youre such an amazing human   aw ily,Positive
8552,YOUR BACKGROUND CREEPS ME OUT just saying, its awesome ,Positive
8553,YOUR BACKGROUND FREAKS ME OUT justsayinggg, haha it always has,Positive
8554,your gorgeous , NO  YOURE GORGEOUS,Positive
8555,your gorgoues , no you are ,Positive
8556,your lovely  , youre lovely  amazing  gorgeous  ,Positive
8557,, ok ik this is natalie,Positive
8558,aww ur older then mee TATS OHHTAYY hahayuppCarlie washed my hairawkward what is the best thing that has ever happend to you, uhhmmm soo many things,Positive
8559,byeas luv u  txt me, kk srry i didnt,Positive
8560,CORRECT idk what to ask you,  its okkayy  i gtg ily,Positive
8561,did u read my indian accient i rocked right ur soooooooooooooooooooooooooooooo HOT, thnx,Positive
8562,graham babe, ok this isnt him i havnt even told him bout this and he hasnt been on fb liar,Positive
8563,guyhigoiphijrtlgosirhjsbrojtelkmg bhgpvuojknmav sckj ghepiryuvomjkf crhworugfwuhkcbsefb ur pretty, thnx,Positive
8564,haha do u thinki ily, i hope so,Positive
8565,haha i washed my friends hair last night and i kept smelling it how do u feel about that, kinda creeped out hahahahhah but its funniee ,Positive
8566,haha ily faith i dont like the G you like you dont know him so what is your favorite color, purple or pink  haha,Positive
8567,haha thats nice does it smell nice, YES i get high off of it in class,Positive
8568,hahahahahahahahahaahahhahahahahhahaha do u have a FACE cause the gods probably ripped it off cause its sooooo beatiful NOW SAY THANK U, yeahhh ok,Positive
8569,heeyyyyyyy my honey will u b my sexy betchhh valentine, NO who r you,Positive
8570,heyyy baby do u wanna go out again, whos this,Positive
8571,i learned how to clap from bend it like becham with my little transporter to read this use a indian accient, what the hell,Positive
8572,I think that its Nick Young saying all that stupid shiz, haha i only said the last  haha r you saying stupid shit,Positive
8573,its ur lovie dovie babe who else do u think it is, idk but who do you think is my lovy dovy,Positive
8574,oh yeah i ASKED that already haha so what kind of shampoo do you use, swave haha coconut sented  and sometimes herbal essences hydralicous featherweight shampoo and conditioner for the hair that needs body,Positive
8575,papa john, who the fck is this,Positive
8576,ull find out tonight my love , wtf,Positive
8577,well ok ik it isnt graham but its jake, no its not cuz jake doesnt know this website,Positive
8578,what do you think of Chelsey Spigler, haha now ik its yu uhmm i havnt had a chance to really get to know her  but i think she could be a good friend,Positive
8579,what is your issuewhy would you send things like that to people, wut idk what your talking about,Positive
8580,What was the worst advice youve ever received, my best friend told me to tell the guy i like that i like him and he sat across from me and it turns out he didnt like me oh well haha,Positive
8581,whats ur sexy hair color babe its gray and black in the pic, uhmm blonde who r you,Positive
8582,whens your birthday, August th  ,Positive
8583,Whos your favorite musician, KEHA,Positive
8584,why did u BREAK UP with graham, cuz i dnt like him lol,Positive
8585,why do you like Graham Hilgartner, becuz hes cute and flirty and has the most wonderful eyes i hav ever seen and we can talk for hours on the phone and still hav something to say the next day ,Positive
8586,Would you rather be a famous musician or a famous actor, famous actor i cant play or sing for my life,Positive
8587,wow, what,Positive
8588,yes ik haha do u love me, OF COURSE  ILY,Positive
8589,Its not even my date and he still gets me out of my skirt, HAHAHAHA Where is THAT from,Positive
8590,it hurts btw, Your butt too much cream ran to it ,Positive
8591,sooooo how could a girl like you possibly fall for me it just doesnt make sense , It makes complete sense  I just dont know why you l,Positive
8592,    enough said ,  a better said ,Positive
8593,A kiss with a fist id better than none, I LOVE FLORENCE They are my favourite band I Actually love Flo so so so much  She won a brit award for the best album and I actually jumped and screamed I was so excited I have loved her for AGES though  WAYYYY before they became famous  so its weird to see their name plastered everywhere  Same with Little Boots  Lady Gaga and Ellie Goulding I have loved all those people for so long  way before any of them were so famous Hold on  they are all female Hmmm  lol,Positive
8594,Innocents and alleys  dont they ever learn What show  which started in   is this quote from  An extra point if you can tell us who said it  Another for another quote from the same show, Charmed  said by Prue  Piper Next time get your own damn lipstick Prue I heard that Piper I love you Prue Bite me  You said nothing about not being able to use Google P,Positive
8595,hugssorry about your weirdfreaky dreamthat was an odd  bloody oneOi dont want you to explodeif i were there i would have disengaged the bomband kicked your managers assall with my super secret spy skillsmore hugs ill comfort you tonight, Thank you I dont think I did explode  but I would have if reality hadnt have slept in  If you die in your dream  thats when they say you actually die in real life isnt it You are welcome to kick his ass  although I think he is dead now in my dream  not really lol So  at least it saves you getting hurt  even if my arms were sliced up with his knife ,Positive
8596,youre JEEZE, Jesus,Positive
8597, i guess im in a relationshiplove question mood tonight , haha  no problem Its good Continue ,Positive
8598, after the last few maybe i should stop asking you questions now haha P, HAHA I dont think you will ever stop asking me questions  NOT THAT I MIND THOUGH D Its entertaining P,Positive
8599, i think you knew how id have reacted  remember the other stuff in my dream that wasnt so important well now you know what it was haha cant believe i just admitted that o, HAHAHA Seriously Are you sure it wasnt actually a joint dream Haha Cant believe I just admitted THAT  Well yeah  I did want to kiss you  and a combination of my dad sat in the front seat and not knowing how you would react even though I do know now  and I wish I could re enter my dream and correct it  was a bit of a put off lol the dad bit  not you obviously P So how was the not so important things in your dream  ,Positive
8600,O Someone is smartand smarter than my memory apparently I thought it was Piper  but I was getting muddled up  Is Innocents and Alleys  dont they ever learn better or not as good as Im being stalked by psycho killers and I hide in the shower, I have no idea lol All the episodes of charmed kind of bleed into one P They are all good though  and Charmed  Buffy  Angel  Skins etc etc are like one long TV show  I dont really think of them as individual eps ,Positive
8601, our formspring messages have been getting increasingly dirtier haha care to comment on anything , Haha My comments would consist of  I dont mind them getting dirtier  it keeps life interesting  haha  One of the many reasons you would be staring at me hmmm  and these would be   I apologise about going insane  but I am better now  so THANK YOU   I think you should actually visit as soon as actually possible P I have problems making the first move  but I think you could brake that issue  haha Love the cheese P  Why am I writing a list  Haha  anything else you would like to add Apart from answering these points P,Positive
8602, person is going to stIves, But it was how many in total right OO CONFUSIN ,Positive
8603, If I get any random adds Im blaming you for publishing my addy  unless they afe from you or other amazing people  A jaffa cake is NOT a biscuit it is a cake, hahaha Jaffa Cake is a cake But its not really is it Its kind of a cross I suppose  You posted your addy not me P I hold nooooo responsibility holds hands up ,Positive
8604, There has even been a legal battle  it is a cake   I sent it two you  you published it p, You sent it to me  the only way I answer it is by answering it P Tough luck P lol  Its not a legal battle  but more of a difference of opinions I was trying to meet half way  I think someone is just stubborn and wants his own way  lol,Positive
8605, features you get complimented on a lotmost often, My hair  my eyes  my smile,Positive
8606, the quote is from John Tucker Must Die which was on TV tonight, Ohh I see Well I watched like to minutes of it  and that wasnt even an intense watch So I dont blame myself ,Positive
8607, words you would use to describe moi , Amazing  gorgeous  witty  adorable  caring ,Positive
8608,th grade then middle school is from th to th grades then there is high school th to th grades at the end of high school we take the SAT which in addition to our high school grades  recommendations  extracurricular activitiesetc is a, Ohh  the SAT we take  times in year    and  They are obviously more important for you guys though  as we take GCSEs at the same time as you take your SATs,Positive
8609, ish i have to go shopping now  i will miss you , Noooooooooooooooooooooo  Well have fun I shall speak to you on your return  Try to buy everything you need  then you dont need to depart again  haha ,Positive
8610,A hardcore fan of Skins generation  is just as big a fan of Skins as someone who likes both generations Discuss, Ummm  I dont know  I think a hardcore fan of Gen  is a hardcore fan of skins  a fan of the show  isnt hardcore  just a show ,Positive
8611,About how many pairs of jeans do you own, Ermmm  well I have loads  but I dont really wear half of them Say   ish,Positive
8612,Aggony aunt much haha , Which question It doesnt help when you post without leaving a name ,Positive
8613,Agreedyou are getting some  interesting questions How do you feel about some of the more  ahem  ones, If im honest I am bloody thankful my parents are NOT on Twitter  As for the questions  I think its slightly wrong that they are even asking them  you think I shall dodge if need be the really ahem ones P lol,Positive
8614,ahhh love makes everything better, Indeed D,Positive
8615,AHHHH FUCK THE SUPERGLUES STINGING YOU MADE IT WORSE, flushed out with a pint of water and loveeeeeeeee  ,Positive
8616,An angel appears out of Heaven and offers you a lifetime supply of the alcoholic beverage of your choice What alcoholic beverage do you choose P, CHAMBORD LIQUOR D Aka rasberry liquor HEAVENLY,Positive
8617,AND  when i bought my helmet for my moped  i got told i had a small head So merrrrr , My last answer about birthday dates is  well  if im honest That helmet wont fit anymore ,Positive
8618,and im learning french at school  but i know a few italian words and phrases that my grandmother taught me not many thoughbut i am learning itso yeaive been told i pronounce words properly which is apparently the major thing people mess up P, Well congrats Buttttt  I think someone should be doing their homework  am I correct  Not reading all my formspring answers  But yeah  do a video with some Italian words P Pleaseeeeee,Positive
8619,and she thinks i am a goth and Jesus, I agree then Because Carla does know all We must agree  she is the lord ,Positive
8620,And the lyrics I send you  are what ever is playing on my iPod at the time, Ohhh I see A nice random playlist you have going there ,Positive
8621,And who am I, Im going to need a clue if Im gonna get this Someone obviously a tad perverted  lol,Positive
8622,and yea  i am actually accident prone  no lie its just emphasized in my dreams p haha, Haha awww Everyone cool is accident prone  so no worries  Im pretty bad too  but that just makes us awesome P haha,Positive
8623,and yea  I will join the preach LOL, Good good good I will let you know dates and the basic script of shoutingI MEAN PREACHING P,Positive
8624,answering or asking must pick one, Asking  Probably because I like to find out things about certain people  buttttttttt its hard when you cant think of anything to ask  and you end up coming across like a babbling idiot ,Positive
8625,Any piercings If yes  how many and where are they And do you want more, Only my lobes I want to get a few more done on my ears  just regular ones going up and a scaffold piercing on my right ear  BUT I dont like needles So its a bit of an issue  For years  I have wanted my tongue and my lip pierced in the centre but again  its a needle ,Positive
8626,anything else youd like to do to me , Oh thats a secret  I dont think I can be posting that on here  haha,Positive
8627,Apart from the obvious ones  which two body parts do you find most sensitive and responsive , HAHAHAHAHAHA Well  im pretty sensual  so I just find light touches to the skin or something  really relaxing It might sound cheesy but heyyyyyy  also  neckworks well P lol,Positive
8628,Apartment or house, House definitely Depending on Location  but I would say a house ,Positive
8629,Are all your questions this dirty or are you just choosing them you naughty lil minx you, Oh trust me Im picking ALL the lessnaughty ones LOL You should see the ones im deleting S,Positive
8630,Are eyebrows considered facial hair, HAHA I guess they are SO  does that mean when were playing the game Guess who and you say Does he have facial hair the answer would always be yes lol Unless they are facially bald ,Positive
8631,Are marbles made of marble, Indeed Some are made of the same material they make fake eyes out of I dont mean glass I mean that rubbery stuffwhats the word Oh yeah Blu Tack,Positive
8632,Are you a morning or night person, Night  DEFINITELY Night is when I come aliveeeeeee In more ways that one  haha,Positive
8633,are you a cuddler, Oh god yes lol I love cuddles  I know you do too  so I dont need to return that question P,Positive
8634,Are you a heavy or light sleeper, Definitely a light sleeper I wake up at the smallest thing  and its crap because I have problems sleeping anyway  so it results in very littttttle sleep ,Positive
8635,Are you a morning person, Not really Again  because of my insomnia  when I get up  im usually pretty tired  but I tend to snap out of it as time goes on Its actually annoying  it might be  at night  and Im really tired  but by the time it reaches  or something  I AM A HYPER LITTLE THING Rather irritating considering thats normal peoples bedtimeish,Positive
8636,Are you a procrastinator, Pretty much yeah lol With some things  no  but if its shit stuff  YESSSSS I get distracted easily P,Positive
8637,are you a righty or a leftywhich hand do you write with, Im a righty  Although  I do sometimes eat with my knife and fork the wrong way around Im not ambidextrous  but I do do somethings with both  Thank the drums for that I suppose lol,Positive
8638,Are you a risk taker If yes  what kind of risks had you taken If not  why not, Umm  I would say so yes I mean  with odd things eg  shall I try jumping from here to there  but there is a steep drop that I would probably fall down in the middle  then no but I still like to take some risks with things  otherwise whats the point Everything would be boring  Just the usual kind of stuff  I guess its called trying your luck lol,Positive
8639,are you a squeamish person like around blood and guts and stuff, Im not to an extent I have never seen anything really squeamish in real life  so I only have to base it on TV things I can watch most things  but there are odd about  times in my life where I have actually had to look away A scene from Pathology being one S Saw  being another and The Descent  being the last ,Positive
8640,Are you a task oriented person or a people oriented person, I dont think I really understand that question oO,Positive
8641,are you a vegetarian , Im not no  but I could quite easily give up meat I do agree with vegetarianism but because I still live with my family  its difficult to live like it ,Positive
8642,are you at all doublejointed at all flexible, Not really no lol Are you,Positive
8643,Are you at all sarcastic, I am VERY sarcastic I suppose it depends on who I am talking to  because it bounces off more with different people But generally  yeah DEFINITELY Are you ,Positive
8644,Are you back from work , I am indeed  As of about  mins ago  but Twitter is over capacity and I cant tweet  Managed to get out a bit early  does happy dance D,Positive
8645,Are you close to your family, Im close to certain members of my family yes I dont really get on too well with my dad or sister  and I do have a pretty small family  so at least that enables us to be a little closer ,Positive
8646,Are you disappointed that I didnt share my Maltesers chocolate with you, Actually  I was eating a bag while I was tweeting earlier  and I feel a tad sick So im rather pleased you didnt share P,Positive
8647,are you from tennesee because you the only TEN I SEE, Im  people LOL  RUDDDDDDDEEEEE MUCH P,Positive
8648,are you getting bored with me  who ever else is on here Kel, Maybeeeee a little ,Positive
8649,Are you gonna join the facebook group Shed , Whats Shed,Positive
8650,Are you good at making new friends, I think im pretty good at making friends  yeah definitely  but Im not great at making those really close friends you know I can make friends  that i pass time with  but I wouldnt consider them life changing or that special to me,Positive
8651,Are you good at making people smile other than me of course , I try to  I dont know if I am  but the approach I usually take in person is the stupid one lol I can be really really stupid if  want to be  not like slapstick  I just make stupid comments that generally make people laugh So  I hope so  I think youre going to have to ask them  but it is my intention Unless im pissed off with them  then they dont deserve to be smiling at me lol,Positive
8652,are you good with directions, With taking or following Im not great with either  but im not the worst  I usually end up lost wherever I go  so im pretty much used to getting lost around Bristol and sorting out my semicrisis  lol,Positive
8653,are you good with your fingers , Im an artist I have to be ,Positive
8654,Are you gunna bang  are you gunna bang doe, Whats up with that,Positive
8655,ARE YOU GUNNA BANG DOE, No comment,Positive
8656,Are you more like your mom or your dad, Probably my mum She is more sensitive  and I think Im a pretty sensitive person Im like my dad too though  in the sense he gets his mind on something  and likes to stick to it ,Positive
8657,are you more of a baker or a cook, Errrm  isnt that the same thing Well  I would say a cook  because I like to experiment a little  I do like to bake deserts thoughhmmm,Positive
8658,are you more of a dessert or real food person like real food being dinner food or whatever, Hmmmm  well it completely depends on how hungry I am  If im hungry  real food  but I must admit I have a thing for sweet things XD CHEESECAKE  My love D lol I think I prefer sweet things to savory yeah  but only at a push ,Positive
8659,Are you old enough to vote in your country What is the voting age Did you vote at the last election Who are you going to vote for at the next election, I have never really been that political I voted for the labour party in the local election last year  and im pretty sure they won  but again  I dont really keep up on politics P,Positive
8660,Are you old fashioned in any way, Only traditional in the romantic sense P lol As in  I believe people shouldnt get married unless terribly in love and not because of arranges or because of children etc  and to treat your guygirl with respect and never let them down etc etc etc You know where im going with this lol,Positive
8661,Are you ready for the most questions in a row ever P Well maybe not ever  but theres going to be a lot, IM READY takes off gloves  and adjusts seat,Positive
8662,Are you saying that Rosie knows what her sexuality is oh god, I think I was saying that she doesnt,Positive
8663,Are you the kind of friend that you would want to have as a friend, I would like to think so yeah  I would consider myself kind  helpful and caring  which are qualities that I look for in other people if I were making friends ,Positive
8664,are you the type of person who would be the one to make the first move relationshipwisecrushwise, It depends really  If I wasnt sure how the other person felt  then I would probably leave it until I know that they felt about me like that If I knew they did  then I could potentially yes  it all depends on the moment and things ,Positive
8665,Are you ticklish are you VERY ticklish  or just kind of  or not at all if so where are you most ticklish are you ticklish in other areas  haha, Hmmm  I am pretty ticklish yes P Down the sides of my stomach I am VERY VERY VERY ticklish Any soft movements there and I squirm  haha Im quite ticklish on my feet too  and underarms  but thats probably normal  Are you at all,Positive
8666,Are you watching eastenders live, I did yes  but is it wrong if I was waiting for them to fuck up I REALLY wanted them to forget a line  Or fall  or laugh  ANYTHING I was disappointed it didnt happen ,Positive
8667,Are you watching Pretty woman , No My name is Earl  well  not really watching  but its on in the background My TV never leaves E No specific reason really  I can never be assed to change the channel P,Positive
8668,Are you your own grandpa, Last time I checked  I was ALL female ,Positive
8669,Arent you a funny one, You only just noticed ,Positive
8670,As long as you dont get chlamydia LOL, haha or anything else  or pregnant  or just plain whorish I stay away from that lifestyle I should preach in the nonwhorish lifestyle   You want to join my preach lol,Positive
8671,Ask you anything  Ive been asking and had no reply Do you know how that makes me feel , Sorryyyyyyy I got dragged to watch a film S Step Brothers actually  pretty funny  I shall answer them all now D  ,Positive
8672,At the same time a block of iron and an equally heavy iron sphere are released from the top of a slope Assume that the friction between the slope has a negligible effect on the velocity of the block and the sphere Which of the two will be down first , the sphere,Positive
8673,at the wedding  who would wear the tux and who would wear the dress Or would you both wear a dress or a tux, HAHA Well  Im not a lover of the Over the top dresses  so I would want to wear a dress  but a kind of plainish one  and my fiance could wear whatever they wanted to wear As long as they were happy  I would be happy ,Positive
8674,At what point are we good enough When are we selfimproved enough to accept ourselves, We are always good enough To strive for something that may or may not happen  it means you are pretty likely to be disappointed by the results All in all  dont try to change  you would never be disappointed  and would even be happier with something that you MAY have always wanted Who knows ,Positive
8675,attempt to define normal, I dont think they is really such thing as normal But if I was to attempt to define it  then Normal could be defined as something that is socially acceptable  and would be considered the norm Its something that the majority of people live by Anything different would be considered unusual therefore  not normal,Positive
8676,avoid  snog  or marry anyone , Hmmm  Snog Kathryn Prescott  Marry You P and Avoid My sister P,Positive
8677,Aww Sorry to hear , Nah its okay No problem  Its why I dont sleep around like some of my friends do I dont believe in it ,Positive
8678,AWWW KELLY  YOURE GONG TO MAKE ME CRY  LOVE YOU, Love you toooooo The love is back  XD,Positive
8679,bad breath or body odor, body odour Bad breath  really puts me off lol,Positive
8680,BAHAHAHAHA smut ftw Keffy is some HOT SHIT, Smut ftw indeedo P,Positive
8681,Barbie or Sindi O, Is Action Man an option I never had a barbie  I was the Action Man girl D lol,Positive
8682,Because she is  straight  and i know for a fact  because all she ever talks about is boys etc   ive liked her since last year , Ohhh I see  The straight issue Yeah  we have all been there  it happens to the best of us With straight people  its not healthy to get hung up on them  so I can see why you want to get it out of your system Talking through it can help  plus concentrating your feelings on something else can help  Aka  keeping distracted lol Literally  try not to think of her like that too You know Although its not as hard as that to say I know ,Positive
8683,believe it or not i had a dream about you last night, Haha Seriously What happened P,Positive
8684,best day of your life so far , Probably going to say Skins Filming Only because it was cool  and I made it that much cooler  lol,Positive
8685,best kind of movie to watch on at date any specific movie that youd watch, I shall make this my last one before bed  Its gone   but its you  so I cant turn you away P I would say a horror movie  because it enables you to snuggle and get a little closer BUT nothing that would make me feel sick or anything  like the Saw movies seen any of them Perhaps a psychological horror  something that I would want my partner to stay with me afterwards  to protect me  haha How about you then D,Positive
8686,best meat, Chicken ,Positive
8687,Best thing that youve drew, Ummmmm  hard to say Because there are so many different types of illustration Probably some work that I did in My Foundation year at Graphics ,Positive
8688,BEYONCE FTW SHE POWNS  BEAUT  LIKE THE BEST SINGER EVER  JUST BARE AMAZING D, HELL YESSS I mean  Im not a huge Beyonce fan personally Im not really a fan of her music  but she has to be one of the most talented performers out there ,Positive
8689,Big or small, Small ,Positive
8690,birds or mammals, mammals  They are more reachable I couldnt live without my cats anymore  and as they are mammals  then mammals ,Positive
8691,bit so we got back to yours  and my ankle was really swollen  so i was laying in your bed  looking around your room for the first time while you went to get a bag of ice for my ankle haha P so when you got back we chatted some more and my ankle, Oh  my room is boring lol My bed is really comfy though  right ,Positive
8692,Black or White iPhone  boring question I know but my brother cant decide and Im not much help to him, hmmm  well everyone has the black one  but the white one could get really dirty and scratched and be really obvioushmmm I would say  the white one  If it gets dirty  buy a new case ,Positive
8693,black or white or both  together, Well I dont think anyone is black or white Everything is kind of mixed  we are all grey in one way or another ,Positive
8694,Black or White, Depends on what  I prefer white toast to burnt  I prefer black clothing to white clothes  and race wise  doesnt matter ,Positive
8695,Bold or trimmed, WTF HAHAHAHAHA Cracking me up Get it Get the pun there ,Positive
8696,Books or Films, Films,Positive
8697,Bored  anything you can suggest,  hours ago I really hope you arent still bored  therefore my help is not needed ,Positive
8698,bored out of my mind , Im good to cure that boredom now ,Positive
8699,bread or toast, TOASTTTT But it has to be buttered STRAIGHT away  so that it melts in all nicely ,Positive
8700,Bright room or dark room, Dark room  DEFINITELY Bright light Just shows up things that dont need to be there Plus  with a dark light  makes you anticipate more  ANTICIPATION IS THE KEY D,Positive
8701,bristol or brighton D, I have never been to Brighton for a long period of time For now  Bristol ,Positive
8702,Brooke Davis GREATEST PERSON IN THE WORLD EVER agree, No,Positive
8703,Brunettes or blondes , I dont really have a preference But if I had to choose  blondes ,Positive
8704,Buffy The Vampire Slayer or Angel, BUFFY I liked both  but I loved the characters in Buffy more D,Positive
8705,bunnies or hippos, bunnies  They are fluffy and cuddly and everyone loves fluff and cuddles ,Positive
8706,buried or cremated, omg  what is it with you and these questions P Haha  I would say cremated So my loved one can still keep me I suppose  but being burnt  even if you are dead  its still pretty scary S I dont have a clue,Positive
8707,BUT ARE YOU GUNNA BANG, Ermmm  no  I need to know the meaning of bang ,Positive
8708,But Im warm in bed  and I didnt get much sleep last night, I didnt either Then stay in bed  Do you need to be up for something If not  stayyyyyyy in bed ,Positive
8709,but some people only like coffee, and some people like both,Positive
8710,but that means getting up  letting the dogs out  back in  putting the laptop back  turning all the lights off  then walking upstairs looong man haha, haha Just bloody do it You are too lazy and probably stuck to the sofa from too much ice cream P Your body has moulded into the fabric HAHAHA  Wouldnt it be better than your parents finding you at the early hours of the morning It is valentines day after all  who knows when they he will be up  HAHA,Positive
8711,Can blind people see their dreams, Well of course D They are blind because their eyes dont work properly yeah Wellll  dreams are behind the eye So they dont even need their eyes P,Positive
8712,Can I ask you a question, That was a question  but I will allow another  seeing as this is a question blog ,Positive
8713,Can i get you a muffin, Considering the next questions in line were  Would you like me to assign someone to butter your muffin and Is your muffin buttered I may decline But thank yourself for the offer,Positive
8714,Can I have your car, Welllllllllll  no,Positive
8715,Can I nibble on your muffin, Like this for example,Positive
8716,Can i stay round yours when you live in brighton, Why not  Depending on where im off to of course P,Positive
8717,Can I visit, Go for it Im going to rent a place  or my parents are gonna buy something  then we will sell it after The school is right in the centre  so thats where im staying WAHOOO,Positive
8718,can insanity bring on more creativity, It can spark creativity  but it depends whether you are stable enough to project it in the right ways All in all  stay sane  stay projective ,Positive
8719,Can me and Louise crash at yours when you live in Brighton baby  , If you want to I dont even have a flat yet  so at the moment  we are all crashing on the wonderful location of outside floor tiles ,Positive
8720,can u pick your best episode of skins ever , HmmmmmIm not sure I have scenes from episodes that I love  but Episode  of Season  is pretty up there Even if it is very angsty S,Positive
8721,Can you add me on msn bulletproofcupidhotmailcouk, Ohhhhh yeah I was totally going to add you LOL The Messenger service I use on my mac doesnt allow me to add people for some odd reason I need to add you on my PC  then transfer back to my mac When im on there  I shall add you ,Positive
8722,Can you draw Megan Fox for me  then send it to me  because youre pretty awesome at drawing  , HAHAHA Well  first of all Thanks  I will see what I can do ,Positive
8723,Can you get cornered in a round room, Its trickery of the question,Positive
8724,Can you guess who me Hints i follow you on twitter  im friends with you on facebook  umm and i love tvtoo much of it in fact , You follow me on Twitter and you are friends with me on Facebook Thats like  LOADS of people lol Ummm  Louise ,Positive
8725,Can you handle the truth, I dont know if I can handle truthful things sometimes  but I would rather know it ,Positive
8726,Can you play any musical instruments, Yeah  I can actually I have been playing the piano and drums FAR too long About  years for drums and ish for piano ,Positive
8727,Can you play the drums, Indeed I can been playing for over a decade now XD,Positive
8728,can you roll fags I CAN im really good with my finger , I cant really no  dont smoke Dont need to   Im sure your fingers must come in handy then P lol,Positive
8729,can you speak another languagedid you ever study another language if so can you still speak it and what language  if any, I used to study French and German at school  but I didnt like them so I didnt pay too much attention lol Hence why I didnt continue them at later stages in my school life  I chose Art  Music  IT and Graphics instead D Still methods of communications right D,Positive
8730,candlelight or lights electric on dim, Candles  Candles look AMAZINGGGG Especially if its dark out  and thats the only form of light ,Positive
8731,candy cane or lollipop, Lollipop  Especially seeing as we dont have Candy Canes hereI dont think anyway ,Positive
8732,Cannae ask you a question, Go for it ,Positive
8733,car or horse, Carrrrrr Especially my Car D Its really beautiful with the top down on a hot summers day  Much more than a horse could give you  Plus  it gets you places  which today  is rather useful ,Positive
8734,care to do anything else to me specify  haha, Oh we already covered this  not over formspring ,Positive
8735,carpet or wood, I take it you mean flooring Wood ,Positive
8736,cheese or cheddar , Cheddar The longer the word  the better ,Positive
8737,chocolate or vanilla, CHOCOLATE But Vanilla ice cream ,Positive
8738,chocolatealmondsmaking it slightly crunchyORRRR chocolatechocolate cookiewise  , Hmmm  Im going to say  whatever you wanted to put into it  They are your creation  and anything you make me will be DELICIOUS  Thank you by the way I feel I should bake some in return  but its going to be nothing in comparisment  and I would probably embarrass myself P,Positive
8739,clubs or bars i enjoy reusing your questions  haha, Clubs  Especially if you are out to let loose a little I dont have much confidence so when I have been drinking not loads just enough to increase my confidence a bit  Bars  I find a bitslow lol Also  going to a club with a partner not that I have recently  or ever properly S but its a nice feeling  More so than a bar I think ,Positive
8740,cn u post a lnk to ur LJ fanfic, I can httpkellyblakelivejournalcomhtml There are about  chapters  so continue through my journal to read if you wish ,Positive
8741,cold or hot vacation with a lover , haha With a lover  ummmm Completely depends on where we were going  I mean  somewhere known for activities in a cold climate  then cold I mean  how long can you actually spend on a beach or sunbathing Its boriiiiiiiiing lol,Positive
8742,cold or hot vacation, If it was a random holiday  probably hot ,Positive
